winner_name,loser_name,ranking_difference,height_difference,age_difference,player1_hand,player2_hand,player1_h2h_win_pct,match_type,player1_recent_win_pct,player2_recent_win_pct,target
Roger Federer,Bjorn Phau,-81.0,10.0,-1.8000000000000007,1,1,0.5,1,0.5,0.5,10.0
Jonas Bjorkman,Olivier Patience,-65.0,3.0,7.9999999999999964,1,1,0.5,1,0.5,0.0,11.0
Yen Hsun Lu,Simon Greul,11.0,-5.0,-2.3000000000000007,1,1,0.5,1,0.0,0.0,8.0
Mikhail Youzhny,Jan Hernych,-50.0,-7.0,-3.0,1,1,0.5,1,0.6666666666666666,0.25,11.0
Juan Carlos Ferrero,Jan Hajek,-53.0,3.0,3.5,1,1,0.5,1,0.0,0.0,3.0
Danai Udomchoke,Martin Vassallo Arguello,17.0,-10.0,-1.5,1,1,0.5,1,0.0,0.0,10.0
Feliciano Lopez,Brian Wilson,-200.0,-2.0,0.6999999999999993,0,1,0.5,1,0.5,0.5,4.0
Novak Djokovic,Nicolas Massu,-28.0,5.0,-7.599999999999998,1,1,0.5,1,1.0,0.5,16.0
Marcos Baghdatis,Rainer Schuettler,-89.0,3.0,-9.2,1,1,0.5,1,0.6,0.0,5.0
Gael Monfils,Daniele Bracciali,-7.0,13.0,-8.7,1,1,0.5,1,0.3333333333333333,0.3333333333333333,3.0
Amer Delic,Gilles Simon,47.0,13.0,2.5,1,1,0.5,1,0.0,0.3333333333333333,13.0
Richard Gasquet,Filippo Volandri,-28.0,2.0,-4.800000000000001,1,1,0.5,1,0.6,0.0,8.0
Sam Querrey,Jose Acasuso,101.0,8.0,-5.0,1,1,0.5,1,0.5,0.5,9.0
Florent Serra,Nicolas Devilder,-21.0,7.0,-1.0,1,0,0.5,1,0.5,0.5,8.0
Jurgen Melzer,Ivo Karlovic,-62.0,-25.0,-2.1999999999999993,0,1,0.5,1,0.6,0.6666666666666666,5.0
Tommy Robredo,Ruben Ramirez Hidalgo,-49.0,-3.0,-4.300000000000001,1,1,1.0,1,0.8,0.3333333333333333,10.0
Mardy Fish,Ivan Ljubicic,38.0,-5.0,-2.6999999999999993,1,1,0.5,1,0.75,1.0,3.0
Nicolas Mahut,Juan Monaco,1.0,5.0,2.1999999999999993,1,1,0.5,1,0.3333333333333333,0.6666666666666666,10.0
Wayne Arthurs,Stefan Koubek,100.0,15.0,5.799999999999997,0,0,0.5,1,0.5,0.6,2.0
Zack Fleishman,Agustin Calleri,144.0,5.0,-3.5,1,1,0.5,1,0.5,0.75,5.0
Radek Stepanek,Michael Llodra,-73.0,-5.0,1.5,1,0,0.5,1,0.5,0.5,12.0
