playerA_market_prob,bookie_margin,log_target,playerA_points_won_pct,minutes,playerA,playerB,pseudo_date
0.6478554706689045,-0.1695577259439636,1,0.5571,84.0,Vincent Spadea,Jurgen Melzer,2004-01-05
-1.7561541888522956,-0.28205708045816325,0,0.419,67.0,Nikolay Davydenko,Andy Roddick,2004-01-06
1.4548835832001419,0.5140921976423211,1,0.5673,59.0,Carlos Moya,Noam Okun,2004-01-06
0.27298567226955783,0.6179377556554282,1,0.6145,59.0,Jonas Bjorkman,Radek Stepanek,2004-01-06
-0.05429495049203148,1.119857952718777,0,0.3165,42.0,Daniel Elsner,Davide Sanguinetti,2004-01-06
-0.8789499281265148,1.258318696736253,0,0.5,117.0,Filippo Volandri,Agustin Calleri,2004-01-06
0.7579141443050392,0.7737060926750878,0,0.4933,97.0,Rafael Nadal,Thierry Ascione,2004-01-06
-1.6298515259837387,-0.5243633824887451,0,0.4514,92.0,Danai Udomchoke,Sjeng Schalken,2004-01-06
-0.8134938035741971,1.0419737842089472,1,0.5467,91.0,Stefan Koubek,Mark Philippoussis,2004-01-06
0.00793446369503132,1.9160072308192613,0,0.5714,16.0,Vladimir Voltchkov,Hyung Taik Lee,2004-01-06
0.34972542378827665,-0.1695577259439636,0,0.4206,74.0,Karan Rastogi,Julian Knowle,2004-01-06
-0.4885179739306471,0.3842852501259388,0,0.4059,55.0,Julien Benneteau,Dominik Hrbaty,2004-01-06
0.36148972800226925,0.410246639629215,1,0.5429,79.0,Felix Mantilla,Jan Vacek,2004-01-06
-0.3456208006122066,0.410246639629215,1,0.6484,66.0,Nicolas Escude,Younes El Aynaoui,2004-01-06
0.00793446369503132,1.9160072308192613,1,0.6042,70.0,Ivan Ljubicic,Nicolas Massu,2004-01-06
-0.16077639254545,0.8688978541871026,1,0.5194,132.0,Robin Soderling,Jan Michael Gambill,2004-01-06
-0.3456208006122066,0.410246639629215,1,0.6739,34.0,Kenneth Carlsen,Paul Henri Mathieu,2004-01-06
-0.6609164991599913,0.39293904662703005,0,0.4021,68.0,Victor Hanescu,Arnaud Clement,2004-01-06
-0.7420452169149768,0.7737060926750878,0,0.4884,129.0,Dmitry Tursunov,Tommy Robredo,2004-01-06
1.3636137757257836,0.8775516506881951,1,0.5645,93.0,Sebastien Grosjean,Markus Hantschk,2004-01-06
-0.35616924541077694,-0.1695577259439636,0,0.4216,61.0,Irakli Labadze,Nicolas Lapentti,2004-01-06
-0.4885179739306471,0.3842852501259388,0,0.4783,139.0,Olivier Rochus,Juan Ignacio Chela,2004-01-06
-0.3456208006122066,0.410246639629215,0,0.4,60.0,Lars Burgsmuller,Michael Llodra,2004-01-06
1.4548835832001419,0.5140921976423211,1,0.6429,46.0,Paradorn Srichaphan,Albert Montanes,2004-01-06
-0.6609164991599913,0.39293904662703005,1,0.7812,35.0,Todd Reid,Wayne Ferreira,2004-01-07
-0.8559019969461212,-0.21282670844942472,1,0.529,88.0,Raemon Sluiter,Guillermo Canas,2004-01-07
-0.6609164991599913,0.39293904662703005,1,0.5517,66.0,Cyril Saulnier,Robby Ginepri,2004-01-07
1.3636137757257836,0.8775516506881951,1,0.5856,61.0,Greg Rusedski,Stan Wawrinka,2004-01-07
-1.3477448483357206,0.8775516506881951,1,0.5614,70.0,Jonas Bjorkman,Andy Roddick,2004-01-07
0.27298567226955783,0.6179377556554282,0,0.4889,127.0,Hicham Arazi,Agustin Calleri,2004-01-07
0.5043869013207097,0.3842852501259388,0,0.4837,92.0,Stefan Koubek,Hyung Taik Lee,2004-01-07
-1.0582628327099772,-0.4897481964843765,0,0.3981,69.0,Ivo Heuberger,Nicolas Escude,2004-01-07
1.0741317601000395,-0.4897481964843765,1,0.5064,98.0,Taylor Dent,Karol Beck,2004-01-07
-0.16077639254545,0.8688978541871026,1,0.5352,90.0,Jean Rene Lisnard,Antony Dupuis,2004-01-07
